"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"samp10";-16.29;11.93;-7.11;0.64;2.68
"samp24";-16.28;8.76;-14.85;-2.83;-0.97
"samp8";-18.37;9.09;-6.65;3.89;1.13
"samp1";-7.77;11.37;5.24;-9.45;4.43
"samp25";-9.88;11.45;5.63;-9.1;2.06
"samp34";1.44;8.54;10.91;-1.46;-12.21
"samp15";9.54;14.51;2.72;-1.02;-0.43
"samp22";13.33;14.71;1.05;-2.98;-0.73
"samp31";14.49;13.05;-3.21;-1.34;-10.23
"samp29";-12.64;-15.21;-7.72;-2.99;-3.5
"samp4";-10.39;-11.8;4.03;7.25;-0.53
"samp5";-2.59;-8.08;-0.65;6.95;-4.34
"samp18";8.16;-13.66;2.81;-1.77;-3.52
"samp23";-5.5;-9.35;8.59;-4.19;11
"samp9";-5.38;-15.62;-3.49;-9.06;-0.82
"samp26";8.17;-9.69;1.22;-3.21;5.4
"samp33";17.78;-10.78;-5.27;-2.17;-6.55
"samp6";21.86;-6.89;-5.42;0.36;0.13
"samp16";-17.66;-1.51;-1.22;6.28;2.91
"samp3";-2.5;3.02;6.68;18.09;-2.53
"samp37";-12.09;-1.13;-1.91;5.92;-1.75
"samp2";-1.72;-0.95;9.5;1.89;1.69
"samp35";-4.68;-4.75;4.83;-6.66;-3.72
"samp7";-5.83;-5.09;4.96;-3.15;-0.83
"samp0";17.42;3.6;-1.98;3.22;10.02
"samp11";19.38;0.79;-8.31;0.08;3.64
"samp39";17.98;3.71;-0.36;6.8;7.56
