"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"p_AT4G36600.1";0.97;0.01;0.07;0.15;0.02
"p_AT5G13420.1";0.97;0.09;0.06;0.04;0.04
"p_AT5G39720.1";0.95;-0.17;0.05;0.05;-0.2
"p_AT5G50920.1";0.94;0.11;0.04;-0.04;0
"p_AT3G11050.1";0.94;0.02;0.01;0;-0.03
"p_AT1G60680.1";0.94;0.16;-0.01;0.13;0.04
"p_AT1G74310.1";0.94;0.1;0.11;0.12;-0.08
"p_AT1G53310.1";0.94;0.03;-0.04;0.23;0
"p_AT3G52930.1";0.92;0.04;0.06;-0.17;0.1
"p_AT4G23100.1";0.92;0.22;-0.12;0.15;0.01
"p_AT5G13450.1";0.92;-0.1;-0.18;0.15;-0.01
"p_AT2G44350.1";0.92;-0.01;-0.05;0.18;-0.12
"p_AT4G11150.1";0.91;0.09;0;0.19;0.01
"p_AT1G67090.1";0.9;-0.04;0.05;-0.13;0.07
"p_AT3G02360.1";0.9;0.12;-0.11;0.2;0.12
"p_AT1G29680.1";0.9;0.25;-0.1;-0.01;0.12
"p_AT5G14780.1";0.9;-0.28;-0.09;0.22;-0.09
"p_AT5G01670.1";0.9;0.19;-0.09;0.06;0.33
"p_AT1G19570.1";0.89;0.29;-0.08;0.22;-0.01
"p_AT4G18920.1";0.89;-0.13;0.17;0.1;-0.19
"p_AT1G79690.1";0.89;-0.15;0.32;0.13;-0.04
"p_AT3G17520.1";0.89;0.11;0.01;0.22;-0.22
"p_AT1G78370.1";0.89;0.18;-0.08;0.02;-0.19
"p_AT3G61220.1";0.89;0.32;-0.01;-0.17;-0.01
"p_AT3G10020.1";0.88;0.04;0.16;0.17;-0.08
"p_AT5G57655.2";0.88;0.22;-0.08;0.22;-0.13
"p_AT3G02530.1";0.88;0.24;-0.3;0.05;0
"p_AT1G66430.1";0.88;0.09;0.13;-0.21;0.14
"p_AT3G11630.1";0.87;0.2;-0.1;0.19;-0.16
"p_AT1G02700.1";0.87;0.22;-0.02;0.32;-0.05
"p_AT5G02240.1";0.87;-0.13;-0.08;0.06;-0.19
"p_AT2G01140.1";0.87;-0.2;0.22;-0.07;-0.13
"p_AT5G45690.1";0.86;0;0.27;0.22;-0.05
"p_AT3G58450.1";0.85;0.13;0.12;0.21;-0.35
"p_AT4G08390.1";0.85;-0.25;0.15;0.12;-0.23
"p_AT2G47470.1";0.85;0.11;0.06;0.15;-0.32
"p_AT5G46290.1";0.85;-0.03;0.26;-0.24;0.14
"p_AT3G02230.1";0.84;0.02;0.15;0.16;-0.14
"p_AT1G48130.1";0.83;-0.03;0.2;0.35;-0.27
"p_AT1G05510.1";0.82;0.03;0.19;0.16;0.17
"p_AT4G21020.1";0.82;0.21;0.13;0.26;-0.2
"p_AT1G30360.1";0.81;-0.3;0.11;0.38;0.16
"p_AT5G18900.1";0.81;0.09;0.06;0.37;-0.3
"p_AT3G12960.1";0.81;0.47;0.12;0.28;-0.1
"p_AT3G19820.1";0.8;0.04;-0.21;0.13;0.33
