"";"Low mean";"Medium mean";"Elevated mean";"pvalue.anova";"pvalue.anova.adj";"Medium-Low";"Elevated-Low";"Elevated-Medium";"Low";"Medium";"Elevated"
"Alanine";"0.572";"0.386";"0.272";"1.97e-04";"1.37e-03";"2.20e-03";"1.64e-04";"2.39e-02";"c";"b";"a"
"Arginine";"0.036";"0.017";"0.011";"1.19e-02";"2.95e-02";"3.99e-02";"1.18e-02";"5.65e-01";"b";"a";"a"
"Asparagine";"0.36";"0.449";"0.518";"1.20e-03";"5.24e-03";"1.71e-02";"9.70e-04";"4.81e-02";"a";"b";"c"
"Aspartate";"0.136";"0.267";"0.317";"2.40e-04";"1.54e-03";"1.34e-03";"2.27e-04";"9.63e-02";"a";"b";"b"
"Cystein";"0.085";"0.038";"0.036";"3.73e-02";"7.75e-02";"5.89e-02";"5.11e-02";"9.93e-01";"a";"a";"a"
"GABA";"0.069";"0.073";"0.063";"1.90e-01";"2.82e-01";"6.82e-01";"4.78e-01";"1.71e-01";"a";"a";"a"
"Glutamine";"0.097";"0.089";"0.1";"8.08e-01";"8.59e-01";"8.82e-01";"9.87e-01";"8.06e-01";"a";"a";"a"
"Glutamate";"0.449";"0.804";"0.821";"4.97e-05";"5.59e-04";"1.02e-04";"7.86e-05";"8.74e-01";"a";"b";"b"
"Glycine";"0.117";"0.109";"0.154";"4.24e-02";"8.55e-02";"8.61e-01";"9.00e-02";"4.66e-02";"ab";"a";"b"
"Isoleucine";"0.031";"0.057";"0.074";"2.38e-03";"9.18e-03";"2.28e-02";"1.97e-03";"1.06e-01";"a";"b";"b"
"Leucine";"0.023";"0.041";"0.047";"1.90e-02";"4.27e-02";"6.46e-02";"1.81e-02";"5.67e-01";"a";"ab";"b"
"Lysine";"0.011";"0.015";"0.014";"1.50e-01";"2.32e-01";"1.64e-01";"2.40e-01";"9.51e-01";"a";"a";"a"
"Phenylalanine";"0.089";"0.078";"0.074";"1.59e-01";"2.45e-01";"3.41e-01";"1.51e-01";"7.96e-01";"a";"a";"a"
"Proline";"0.06";"0.053";"0.067";"9.19e-01";"9.32e-01";"9.77e-01";"9.77e-01";"9.12e-01";"a";"a";"a"
"Serine";"0.127";"0.187";"0.233";"2.92e-03";"1.09e-02";"3.46e-02";"2.37e-03";"8.88e-02";"a";"b";"b"
"Threonine";"0.063";"0.108";"0.161";"2.03e-04";"1.37e-03";"9.14e-03";"1.61e-04";"4.70e-03";"a";"b";"c"
"Tryptophan";"0.57";"0.263";"0.124";"8.10e-07";"3.65e-05";"6.15e-06";"9.00e-07";"6.17e-04";"c";"b";"a"
"Tyrosine";"0.054";"0.054";"0.045";"2.41e-01";"3.35e-01";"9.87e-01";"2.72e-01";"3.27e-01";"a";"a";"a"
"Valine";"0.102";"0.126";"0.133";"6.86e-02";"1.20e-01";"1.63e-01";"6.80e-02";"7.79e-01";"a";"a";"a"
