"Names_of_Y" "Names_of_X" "frequency" "estim"
"12" "AT1G03030.1" "Elevated" 0.9745 1.34446711158662
"52" "AT1G07985.1" "Low" 0.998 1.37391588466747
"54" "AT1G07985.1" "Elevated" 0.991 -1.35486262371653
"55" "AT1G08110.1" "Low" 0.9615 -1.30839475422628
"60" "AT1G08830.1" "Elevated" 0.991 -1.29198857522545
"109" "AT1G14950.1" "Low" 0.971 1.36792689807046
"166" "AT1G18500.1" "Low" 0.981 -1.35404270003975
"168" "AT1G18500.1" "Elevated" 0.959 1.58368850199496
"200" "AT1G22300.1" "Medium" 0.99 1.22393471714342
"259" "AT1G43170.1" "Low" 0.975 1.56462466001239
"322" "AT1G53750.1" "Low" 0.964 0
"405" "AT1G68010.1" "Elevated" 0.981 1.51121133581769
"512" "AT2G02930.1" "Medium" 0.9685 1.11186447345715
"747" "AT2G38380.1" "Elevated" 0.95 -1.24617829559778
"804" "AT2G43950.1" "Elevated" 0.962 -1.05789850289651
"863" "AT3G02530.1" "Medium" 0.998 0.971574723571317
"885" "AT3G05190.1" "Elevated" 0.9535 -1.41460634885163
"1116" "AT3G23570.1" "Elevated" 0.953 1.0569048247062
"1226" "AT3G53990.1" "Medium" 0.979 1.02423438585636
"1329" "AT4G02340.1" "Elevated" 0.966 0.970668573954903
"1427" "AT4G16155.1" "Medium" 0.9525 -1.33421579625217
"1473" "AT4G21580.1" "Elevated" 0.9595 0.879423934865035
"1522" "AT4G27520.1" "Low" 0.984 1.51662093325496
"1666" "AT5G04885.1" "Low" 0.9605 1.10101764725102
"1668" "AT5G04885.1" "Elevated" 0.95 -1.62607649212849
"1872" "AT5G26830.1" "Elevated" 0.9745 1.35713710470791
"1937" "AT5G42740.1" "Medium" 0.9685 -1.1876179503059
